network,strategy,family,cover_reachable,tx_per_flood
norway,all k=1,blanket,32.6,16.86
norway,all k=2,blanket,57.5,59.39
norway,all k=3,blanket,68.0,104.71
norway,backbone k=1,meshcore,11.9,2.68
norway,backbone k=2,meshcore,26.2,9.12
norway,bb+base k=2,meshcore+,45.4,28.53
norway,src x2,src-repeat,47.3,33.42
norway,router x2,targeted,43.0,27.05
bay-area,all k=1,blanket,4.8,12.95
bay-area,all k=2,blanket,16.8,88.31
bay-area,all k=3,blanket,28.5,231.13
bay-area,backbone k=1,meshcore,1.8,2.55
bay-area,backbone k=2,meshcore,7.9,15.91
bay-area,bb+base k=2,meshcore+,11.0,37.9
bay-area,src x2,src-repeat,7.5,22.57
bay-area,router x2,targeted,10.9,38.22
florida,all k=1,blanket,1.9,6.0
florida,all k=2,blanket,5.8,35.81
florida,all k=3,blanket,10.1,93.55
florida,backbone k=1,meshcore,1.3,2.43
florida,backbone k=2,meshcore,4.0,10.96
florida,bb+base k=2,meshcore+,4.9,21.77
florida,src x2,src-repeat,3.4,12.69
florida,router x2,targeted,4.0,16.95
socal,all k=1,blanket,13.2,21.61
socal,all k=2,blanket,34.3,118.19
socal,all k=3,blanket,44.6,237.38
socal,backbone k=1,meshcore,2.3,1.95
socal,backbone k=2,meshcore,4.9,6.46
socal,bb+base k=2,meshcore+,6.5,13.42
socal,src x2,src-repeat,21.4,41.68
socal,router x2,targeted,16.2,31.18
meshtastic-pt,all k=1,blanket,14.5,21.59
meshtastic-pt,all k=2,blanket,31.2,91.67
meshtastic-pt,all k=3,blanket,44.0,193.37
meshtastic-pt,backbone k=1,meshcore,4.1,2.9
meshtastic-pt,backbone k=2,meshcore,7.0,8.24
meshtastic-pt,bb+base k=2,meshcore+,19.8,32.94
meshtastic-pt,src x2,src-repeat,22.1,41.36
meshtastic-pt,router x2,targeted,18.1,32.68
italia,all k=1,blanket,32.4,1.15
italia,all k=2,blanket,35.8,2.52
italia,all k=3,blanket,40.4,4.26
italia,backbone k=1,meshcore,30.9,1.02
italia,backbone k=2,meshcore,34.2,2.08
italia,bb+base k=2,meshcore+,34.4,2.21
italia,src x2,src-repeat,35.4,2.25
italia,router x2,targeted,32.9,1.33
