scale,equiv_nodes,equiv_active_per_hour,packets_per_hour,mean_util,p95_util,p99_util,coverage,tx_per_flood
0.5,250,48,194,1.06,4.63,7.54,19.16,8.47
1.0,499,96,387,2.02,8.8,14.19,18.34,8.12
1.25,624,120,484,2.47,10.72,17.31,17.75,7.9
1.5,748,144,580,2.94,12.73,20.54,17.67,7.86
2.0,998,192,774,3.67,15.65,25.68,16.7,7.42
2.5,1248,240,968,4.42,18.84,30.72,16.12,7.16
3.0,1497,288,1161,5.08,21.4,35.0,15.55,6.88
3.5,1746,336,1354,5.72,24.1,39.18,15.05,6.65
4.0,1996,384,1548,6.2,25.92,42.2,14.32,6.36
5.0,2495,480,1935,7.17,29.58,47.97,13.33,5.91
6.0,2994,577,2322,8.03,32.8,53.74,12.54,5.55
