network,proto,delivery_pct,tx_per_pkt,tx_per_delivered,sent
norway,FLOOD,25.52,17.8,69.77,15636
norway,PATH,4.75,18.61,392.14,15636
norway,NEXTHOP,30.51,17.92,58.74,15636
norway,GRADCOR,50.56,10.09,19.95,15636
norway,GRADCOR-R,51.19,10.91,21.32,15636
bay-area,FLOOD,5.62,10.4,185.12,13717
bay-area,PATH,0.14,10.96,7909.89,13717
bay-area,NEXTHOP,7.21,10.27,142.41,13717
bay-area,GRADCOR,11.02,6.44,58.5,13717
bay-area,GRADCOR-R,12.93,7.02,54.29,13717
florida,FLOOD,4.71,5.42,115.11,16785
florida,PATH,0.1,5.58,5513.71,16785
florida,NEXTHOP,5.68,5.87,103.37,16785
florida,GRADCOR,11.81,5.33,45.09,16785
florida,GRADCOR-R,11.92,5.49,46.07,16785
socal,FLOOD,13.18,17.13,129.95,14999
socal,PATH,0.81,17.53,2154.91,14999
socal,NEXTHOP,17.45,19.17,109.88,14999
socal,GRADCOR,28.15,8.81,31.31,14999
socal,GRADCOR-R,27.82,9.78,35.18,14999
meshtastic-pt,FLOOD,23.97,21.15,88.23,9121
meshtastic-pt,PATH,9.98,20.05,200.94,9121
meshtastic-pt,NEXTHOP,30.31,18.97,62.56,9121
meshtastic-pt,GRADCOR,42.64,10.83,25.41,9121
meshtastic-pt,GRADCOR-R,43.24,10.84,25.08,9121
italia,FLOOD,6.17,1.21,19.63,15041
italia,PATH,2.09,1.42,67.77,15041
italia,NEXTHOP,10.46,1.33,12.76,15041
italia,GRADCOR,5.05,1.98,39.31,15041
italia,GRADCOR-R,5.13,2.05,39.88,15041
