network,proto,cover_reachable,tx_per_flood,pivot_tx_frac
norway,managed flood,30.6,15.4,0.0
norway,relay pressure,54.2,59.0,0.0
norway,role backbone,12.2,2.8,0.0
norway,meshcore repeaters,26.4,9.2,0.0
norway,PIVOT exact,32.7,13.6,88.3
norway,PIVOT 64-bit,31.5,14.2,70.6
norway,PIVOT 256-bit,31.3,19.2,58.8
bay-area,managed flood,3.7,10.0,0.0
bay-area,relay pressure,9.9,53.4,0.0
bay-area,role backbone,1.8,2.6,0.0
bay-area,meshcore repeaters,7.8,15.7,0.0
bay-area,PIVOT exact,5.6,14.7,83.2
bay-area,PIVOT 64-bit,4.6,12.1,70.0
bay-area,PIVOT 256-bit,5.2,19.8,55.5
florida,managed flood,1.7,5.6,0.0
florida,relay pressure,4.2,27.3,0.0
florida,role backbone,1.3,2.4,0.0
florida,meshcore repeaters,3.9,10.7,0.0
florida,PIVOT exact,1.8,6.5,95.5
florida,PIVOT 64-bit,1.8,7.3,81.5
florida,PIVOT 256-bit,2.0,10.1,63.5
socal,managed flood,11.2,18.0,0.0
socal,relay pressure,25.7,81.5,0.0
socal,role backbone,2.2,1.9,0.0
socal,meshcore repeaters,5.0,6.6,0.0
socal,PIVOT exact,12.5,17.2,93.5
socal,PIVOT 64-bit,12.7,19.2,73.6
socal,PIVOT 256-bit,11.9,23.6,62.8
meshtastic-pt,managed flood,11.2,15.3,0.0
meshtastic-pt,relay pressure,24.9,67.2,0.0
meshtastic-pt,role backbone,4.2,2.9,0.0
meshtastic-pt,meshcore repeaters,6.8,8.0,0.0
meshtastic-pt,PIVOT exact,13.6,16.1,85.6
meshtastic-pt,PIVOT 64-bit,14.1,16.5,71.0
meshtastic-pt,PIVOT 256-bit,14.4,24.5,57.4
italia,managed flood,33.3,1.2,0.0
italia,relay pressure,36.5,2.5,0.0
italia,role backbone,31.3,1.0,0.0
italia,meshcore repeaters,35.3,2.1,0.0
italia,PIVOT exact,35.7,2.1,99.2
italia,PIVOT 64-bit,36.3,2.4,88.7
italia,PIVOT 256-bit,36.3,3.2,67.1
